song_title,artist,year,genre_group
"Hey, Soul Sister",Train,2010,3
Love The Way You Lie,Eminem,2010,3
TiK ToK,Kesha,2010,3
Bad Romance,Lady Gaga,2010,3
Just the Way You Are,Bruno Mars,2010,3
Dynamite,Taio Cruz,2010,3
Secrets,OneRepublic,2010,3
Club Can't Handle Me (feat. David Guetta),Flo Rida,2010,3
Marry You,Bruno Mars,2010,3
Cooler Than Me - Single Mix,Mike Posner,2010,3
Telephone,Lady Gaga,2010,3
Like A G6,Far East Movement,2010,3
Eenie Meenie,Sean Kingston,2010,3
The Time (Dirty Bit),The Black Eyed Peas,2010,3
Alejandro,Lady Gaga,2010,3
Your Love Is My Drug,Kesha,2010,3
Meet Me Halfway,The Black Eyed Peas,2010,3
Take It Off,Kesha,2010,3
Misery,Maroon 5,2010,3
All The Right Moves,OneRepublic,2010,3
Naturally,Selena Gomez & The Scene,2010,3
I Like It,Enrique Iglesias,2010,3
Teenage Dream,Katy Perry,2010,3
California Gurls,Katy Perry,2010,3
3,Britney Spears,2010,3
My First Kiss - feat. Ke$ha,3OH!3,2010,3
Blah Blah Blah (feat. 3OH!3),Kesha,2010,3
Imma Be,The Black Eyed Peas,2010,3
Sexy Bitch (feat. Akon),David Guetta,2010,3
Bound To You - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,2010,3
Rock That Body,The Black Eyed Peas,2010,3
Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,2010,3
You Lost Me,Christina Aguilera,2010,3
Not Myself Tonight,Christina Aguilera,2010,3
Written in the Stars (feat. Eric Turner),Tinie Tempah,2010,3
Break Your Heart,Taio Cruz,2010,3
A Thousand Years,Christina Perri,2011,3
Give Me Everything,Pitbull,2011,3
Just the Way You Are,Bruno Mars,2011,3
Run the World (Girls),Beyoncé,2011,3
Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,2011,3
Love On Top,Beyoncé,2011,3
Grenade,Bruno Mars,2011,3
Tonight Tonight,Hot Chelle Rae,2011,3
